epoch,loss
393,9.91795e-005
394,9.90257e-005
395,9.88723e-005
396,9.87194e-005
397,9.85669e-005
398,9.84149e-005
399,9.82633e-005
400,9.81122e-005
401,9.79615e-005
402,9.78113e-005
403,9.76615e-005
404,9.75121e-005
405,9.73632e-005
406,9.72147e-005
407,9.70667e-005
408,9.69191e-005
409,9.67719e-005
410,9.66252e-005
411,9.64788e-005
412,9.63329e-005
413,9.61875e-005
414,9.60424e-005
415,9.58978e-005
416,9.57536e-005
417,9.56098e-005
418,9.54664e-005
419,9.53234e-005
420,9.51808e-005
421,9.50387e-005
422,9.4897e-005
423,9.47556e-005
424,9.46147e-005
425,9.44742e-005
426,9.4334e-005
427,9.41943e-005
428,9.4055e-005
429,9.3916e-005
430,9.37775e-005
431,9.36394e-005
432,9.35016e-005
433,9.33642e-005
434,9.32273e-005
435,9.30907e-005
436,9.29545e-005
437,9.28187e-005
438,9.26832e-005
439,9.25482e-005
440,9.24135e-005
441,9.22792e-005
442,9.21453e-005
443,9.20117e-005
444,9.18786e-005
445,9.17457e-005
446,9.16133e-005
447,9.14813e-005
448,9.13496e-005
449,9.12182e-005
450,9.10873e-005
451,9.09567e-005
452,9.08264e-005
453,9.06965e-005
454,9.0567e-005
455,9.04378e-005
456,9.0309e-005
457,9.01806e-005
458,9.00525e-005
459,8.99247e-005
460,8.97973e-005
461,8.96703e-005
462,8.95436e-005
463,8.94172e-005
464,8.92912e-005
465,8.91655e-005
466,8.90402e-005
467,8.89152e-005
468,8.87906e-005
469,8.86663e-005
470,8.85423e-005
471,8.84186e-005
472,8.82953e-005
473,8.81724e-005
474,8.80497e-005
475,8.79274e-005
476,8.78055e-005
477,8.76838e-005
478,8.75625e-005
479,8.74415e-005
480,8.73208e-005
481,8.72005e-005
482,8.70804e-005
483,8.69607e-005
484,8.68413e-005
485,8.67223e-005
486,8.66035e-005
487,8.64851e-005
488,8.63669e-005
489,8.62491e-005
490,8.61316e-005
491,8.60145e-005
492,8.58976e-005
493,8.5781e-005
494,8.56647e-005
495,8.55488e-005
496,8.54331e-005
497,8.53178e-005
498,8.52028e-005
499,8.5088e-005
500,8.49736e-005
